Age,M,F
0-4,10055063,9621269
5-9,10246393,9798759
10-14,10777513,10311974
15-19,10834321,10408587
20-24,11322732,10936013
25-29,12144455,11690875
30-34,11702514,11349965
35-39,10858871,10756920
40-44,10118582,10176017
45-49,9969099,10084699
50-54,10319535,10258272
55-59,10702065,10840205
60-64,10049886,10619257
65-69,8465274,9353753
70-74,6645519,7709344
75-79,4326986,5400748
80-84,2805623,3655579
85-89,1538659,2372445
90-94,703131,1348005
95-99,179003,447633
100+,20792,76312
